popID,indivID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100
C/S Asia,HGDP00001,1.72713,131.956,2.45369,12.3448,-74.1836,82.1477,27.1229,2.3869,4.98309,-16.1992,-54.559,0.681937,1.92896,27.3838,-2.63932,10.275,2.43405,-13.2103,7.77086,-9.70938,45.725,-1.52482,6.13175,11.9619,50.6935,-27.6465,14.5476,-12.5651,10.4672,4.48956,0.995873,9.30787,-4.55869,6.86313,4.31893,2.0495,6.27507,-12.6988,4.03671,3.16557,4.86348,-7.92137,-4.64741,8.28537,-1.44847,-0.379928,-3.26875,-8.47798,-7.13176,3.89295,-2.06995,-9.13596,1.89851,1.95851,-1.44357,-6.28714,2.49995,1.19817,6.08924,4.22843,-10.4372,-2.8274,6.93682,6.70754,1.73611,3.37278,1.92869,9.14686,3.95425,-10.521,5.5725,1.44659,0.809167,-4.02063,4.18653,0.297191,-1.47851,5.45626,-4.2458,3.77404,2.20311,4.62317,6.6158,-8.3293,16.6424,-3.10006,1.17535,-14.1397,2.76425,3.39468,-11.9803,-12.5829,3.53061,-1.9272,-27.0654,16.5157,17.4767,-12.6713,2.47991,-19.1346
C/S Asia,HGDP00003,-0.779129,133.931,7.60447,15.1598,-75.2615,85.5452,25.402,1.62158,-0.0538931,-15.17,-67.3156,-7.74651,1.77534,32.7577,1.04289,10.8451,-5.38961,-14.2793,0.521419,-12.2264,59.1383,0.795461,2.84591,2.23102,69.8018,-38.98,22.1806,-17.6025,13.8876,8.86873,-1.67557,-11.0984,-3.40672,6.24956,-4.62774,4.41312,4.24002,-3.46579,1.78894,2.20821,4.79106,-1.84927,-9.84368,15.7578,-5.44906,0.713461,2.95043,-3.67841,-7.61531,13.4699,-13.9048,-2.30997,4.08603,-3.12373,3.73049,-2.5857,6.54182,-13.5361,16.4023,-1.61088,1.78059,12.8908,5.88684,8.82472,7.06899,-1.93419,-1.87182,-3.01342,-8.08365,-6.38567,10.3197,-3.36377,14.1919,-9.34664,5.71387,-4.59748,-12.0948,5.54901,4.13474,13.0654,-5.16851,-5.93142,6.45077,-16.7215,10.2747,-3.71862,1.61163,-12.4618,-9.85345,0.552689,18.7139,-31.5676,20.7983,-3.26068,-35.0256,42.8094,7.22067,-47.0474,-10.4231,-41.3158
C/S Asia,HGDP00005,-4.92982,130.135,2.66368,10.1673,-73.5857,86.5135,28.0371,-0.936913,2.36621,-20.681,-46.3343,-9.17494,3.11672,30.2505,-0.587348,8.06602,2.02313,-17.6802,-0.76279,-9.13768,46.1178,-2.4788,-4.35974,15.9363,53.3228,-36.695,10.5835,-14.6813,4.04665,3.62131,-2.80889,-4.83261,-2.06542,4.50138,3.29803,1.022,1.78983,-10.2514,6.73747,-0.223495,-3.43662,6.40773,-3.33172,-1.24018,-1.48395,-5.51833,4.07103,-2.22262,-7.34531,5.13698,-0.601844,-0.93939,9.46812,-0.45772,0.810896,-1.44322,3.94387,-5.75818,4.26553,2.66535,1.0119,1.26308,-2.08602,-0.337304,6.19109,5.24517,0.748247,-0.185984,-3.18741,0.36703,9.42252,9.09286,2.1572,0.0798708,-2.09854,0.643106,-8.93087,2.29308,10.8632,2.56829,-11.7492,-1.8355,3.79701,-4.53887,-1.08575,-6.86487,-3.57713,-4.41842,-5.82106,-1.26309,24.7404,-11.8399,9.13806,-3.3613,-19.828,24.6327,19.3643,-33.1816,-10.4367,-17.5563
C/S Asia,HGDP00007,-0.236142,138.636,7.33342,9.35498,-76.0982,83.2393,27.2322,3.02073,2.37495,-11.0835,-56.7345,-9.4056,1.45943,27.2852,-0.774612,7.65867,0.317727,-9.30591,0.827293,-9.13434,45.5591,2.35389,-0.812229,13.7386,54.267,-38.1402,18.8363,-6.00338,6.4032,9.11113,0.879971,-14.6025,-4.02947,-2.37641,-6.36607,-3.29692,-0.733537,1.57039,-1.43045,-4.41845,-1.337,-4.00736,-4.21231,0.178835,-3.55545,-3.0845,-6.37852,-2.48552,-3.89621,11.9595,-1.76822,-9.51961,-0.490866,-4.12904,0.550461,-1.53702,0.710877,5.98117,3.44066,-2.26436,4.68769,-2.59153,-2.42876,-5.23507,-2.41731,5.47053,-2.75628,2.60679,-1.81839,-5.83181,-0.26983,-6.28576,5.75901,0.436373,-10.1683,2.55691,-5.89155,8.82233,0.76971,-12.1235,0.840886,-2.65382,8.55341,-3.37513,10.218,-2.73411,0.980344,1.46826,-5.45437,19.6986,0.23896,-21.6788,9.09877,4.07366,-28.4531,27.0335,8.79917,-22.2568,-5.94359,-22.962
C/S Asia,HGDP00009,0.860619,137.991,5.8794,9.56158,-67.0879,78.0701,23.8113,4.54555,2.65133,-15.115,-52.777,0.376843,4.79719,26.264,-4.99568,3.81945,0.0753197,-20.902,-1.49745,-3.75973,41.834,5.0844,-6.36993,14.5313,46.0311,-35.9096,8.06535,-9.86249,18.8194,3.64691,-2.87498,-1.39395,0.841185,5.12056,2.4453,-4.54209,3.12209,-4.32193,-3.10308,8.38578,5.04923,2.09215,-8.40707,8.55038,-0.614926,-2.35957,-2.19102,-0.674978,-4.38812,13.3807,4.416,-5.74677,3.59539,-2.47872,1.12334,2.18046,-2.1735,-3.09923,3.22968,6.27568,-2.51288,-9.5591,2.69235,-3.46974,1.79964,0.312424,-2.01576,4.31631,-0.860157,2.77597,8.33609,5.32341,5.94932,-7.24613,-7.12334,4.63886,-5.3465,18.7482,-4.3895,-1.21118,-2.42633,-0.11055,2.95438,-10.5963,13.492,7.58391,14.9956,-3.53924,5.39952,7.36293,-8.10835,-14.2699,13.738,-1.55497,-10.266,21.4357,9.92655,-9.96312,-12.3916,-17.1589
C/S Asia,HGDP00011,-5.5864,136.393,5.90332,6.52456,-76.788,83.8775,28.3401,-1.7641,1.543,-14.4539,-52.9739,-6.18514,2.19454,27.4431,-5.32594,12.6557,-5.77572,-4.79242,-7.66723,-3.14109,44.4253,-0.724526,-1.13927,13.7408,44.5218,-25.5183,18.1186,-4.44343,11.6503,-4.75043,0.813503,-3.41468,2.61563,0.818246,6.46287,0.0825815,15.837,-9.01489,3.10339,2.17027,0.464915,-4.19022,-10.4303,-3.34682,-0.0886059,-1.78313,1.91029,-1.57398,-4.27022,11.0701,-3.80297,2.35555,5.47476,-0.933956,-1.21164,6.63494,-3.76359,-6.69275,0.0422386,15.6986,4.00939,-2.16811,1.89668,5.19054,1.07524,5.62104,1.19408,-4.78777,-1.57171,-0.881938,3.81945,-4.57621,2.42182,-18.4642,2.53022,6.98072,-2.42096,3.46505,-6.26384,5.33966,-0.986574,-0.0910851,19.3943,-20.0682,7.75378,2.43637,-14.6225,13.7932,-14.323,-0.952289,-4.70518,-9.07133,6.9856,-3.93791,-14.299,7.38648,7.64225,-30.7122,13.7006,-9.75141
C/S Asia,HGDP00013,118.835,47.3598,8.66893,9.5069,-33.2576,73.1873,21.2371,-5.46345,-1.77237,-15.0417,-39.0644,3.83648,4.49168,17.4578,6.60949,18.5168,19.6596,-3.7936,-4.73938,-3.64432,22.3177,-5.78327,-20.1914,16.9085,31.9292,-17.0079,6.472,-7.17729,-1.80005,4.45095,15.0982,-4.42161,6.8935,-7.06894,-29.732,10.1502,7.19007,4.52379,10.3586,18.2424,8.21938,3.77245,-9.83979,-10.5941,-12.1512,-4.48156,-6.75368,-2.17448,6.04861,-6.20324,18.9554,5.65503,12.7168,15.5639,-15.5954,-4.99321,4.84905,-11.9113,9.1235,18.7564,4.59106,-14.1843,8.10644,4.08704,-13.8533,12.8499,-9.30396,1.34119,3.72302,-1.68787,8.29253,-9.28778,-4.0635,-0.589771,-0.494649,5.55029,8.89856,25.2145,4.57796,17.8665,-1.96438,20.5566,27.0002,25.3725,2.28839,18.3967,-22.1112,21.4792,12.3684,-48.2638,1.66793,24.8931,-27.5477,-0.94776,-29.9207,-9.43727,-25.5606,-39.2492,-5.6785,3.25876
C/S Asia,HGDP00015,1.15539,140.13,10.9636,5.88544,-73.1689,88.1966,25.5413,-1.91903,-0.216984,-16.7938,-46.2396,-6.06982,0.287848,27.9536,-2.88349,21.6892,1.52273,-16.524,11.1336,-2.93375,47.781,-0.645706,-1.4608,11.8094,45.1619,-39.1947,21.8986,-8.49638,4.6772,7.03089,-3.44142,3.97306,0.000459273,0.882595,3.71924,1.90365,-2.49834,-10.4477,-2.54902,4.81437,5.65905,3.80244,-5.30298,2.41785,-11.8991,0.189541,-4.45471,-3.63253,6.45249,9.13067,0.293005,-3.42961,4.58239,-1.15981,-0.533497,5.2369,-2.41783,-2.24874,1.79244,3.57799,-0.405906,-5.06406,4.89696,-4.34311,-1.85798,0.597652,1.42359,3.69364,0.182455,7.68697,-6.05362,-3.82894,-1.3774,5.87812,-3.31259,0.225379,-2.16107,7.01982,9.82804,-4.69415,-10.6378,10.0044,2.10223,10.5763,-2.4522,4.64113,5.61498,-5.782,12.8145,-0.663082,25.8207,14.758,2.6054,8.15063,-2.88318,20.9233,-4.97275,2.98063,-14.8871,-9.83658
C/S Asia,HGDP00017,-1.08001,137.813,4.49108,17.1472,-75.9469,84.7198,23.5961,-1.86744,2.19061,-13.5931,-54.5068,2.99924,1.54327,26.1402,-1.06543,6.48995,-0.453907,-14.944,2.59042,-12.9803,48.7834,3.05904,0.731945,-2.38384,52.093,-37.3813,21.7872,-7.56224,3.342,4.16355,9.72643,-6.48862,-7.88479,4.97049,1.3495,5.44921,2.32896,1.90461,13.6483,7.00835,1.66168,-5.80211,-15.1967,4.00144,-3.67127,-4.18644,-8.2785,0.176892,8.95817,12.0441,-9.3854,-4.43229,6.28869,2.6085,-1.43648,1.9582,0.142865,2.87927,1.80596,0.292267,-4.92519,-4.83022,4.98186,-1.76759,7.64448,5.31799,-2.18947,-1.57181,-2.45484,4.63955,14.1632,-10.4744,7.73975,2.49092,8.85646,-0.471692,-0.856552,-2.85022,6.15727,-5.46029,11.3235,-6.4504,12.4474,5.62118,12.494,0.225154,-7.92492,-7.93031,-10.5045,13.6024,19.9426,-8.00398,0.747863,-0.697642,-15.347,32.0809,5.15579,-11.3631,-13.9319,-18.0271
C/S Asia,HGDP00019,-6.51046,126.452,0.363787,11.8076,-61.8943,68.6552,19.6051,-2.34239,7.58902,-11.7781,-42.5432,-5.21787,-1.29203,16.6518,2.65687,6.13003,-6.66358,-14.8092,-0.976137,-5.05779,22.4202,0.68602,3.87379,2.00405,22.6394,-18.7209,6.28813,0.482214,10.1463,1.16584,-2.78528,2.95492,3.09017,3.62193,3.86169,-1.61249,10.9655,-8.70032,-1.16653,11.5031,6.37596,0.660916,3.71339,12.2734,-4.54422,3.58151,-0.720166,3.29519,-4.05866,-4.14617,8.53905,4.46575,-7.50646,-6.30984,-6.7835,1.03399,3.97922,-12.5531,13.6483,1.64557,4.41717,3.35519,-1.56417,3.63679,9.27183,-9.49395,-15.2483,-0.516032,0.805173,6.60027,-8.24057,7.3012,8.77065,0.0206661,5.36563,1.13505,-2.164,-11.7961,5.6312,0.705343,-9.73216,-2.47345,-6.96032,7.10579,-11.7218,-9.97826,13.2158,-6.88617,-1.47122,0.792232,11.09,-6.43286,2.22622,7.27873,-0.651737,20.8678,0.124645,-25.8343,3.39927,-28.6515
